supplier_id,drop_ship_fee,supplier_name,product_id,product_sku,title,warranty,description,condition,details,manufacturer,brand_name,case_pack_quantity,country_of_origin,product_last_update,item_id,item_sku,mpn,upc,item_name,item_weight,ship_alone,ship_freight,ship_weight,ship_cost,max_ship_single_box,map,price,custom_price,prepay_price,street_price,msrp,qty_avail,stock,est_avail,qty_on_order,item_last_update,item_discontinued_date,categories,attributes,image_file,image_width,image_height,additional_images,folder_paths,is_customized
16,0.00,Orchid,110938,414597,"212 by Carolina Herrera - Eau De Toilette Spray 1.7 oz",,"Launched by the design house of Carolina Herrera in 1997, 212 is classified as a refreshing, flowery fragrance. This masculine scent possesses a blend of florals. It is recommended for office wear.",new,,,"Carolina Herrera",12,,"2011-02-07 03:16:12",158409,414597,600M,,"212 by Carolina Herrera - Eau De Toilette Spray 1.7 oz",,0,0,,6.95,,,36.80,,35.75,,52.00,150,in-stock,,0,"2011-01-21 02:10:40",,"Catalog||Health & beauty||Perfume & fragrances||Men's||A-F",,http://images.doba.com/products/16/images_products_Parent_600M.jpg,141,125,,MensFragrance,0
16,0.00,Orchid,110943,414604,"212 by Carolina Herrera - Eau De Toilette Spray 3.4 oz",,"Launched by the design house of Carolina Herrera in 1997, 212 is classified as a refreshing, flowery fragrance. This masculine scent possesses a blend of florals. It is recommended for office wear.",new,,,"Carolina Herrera",12,,"2011-02-07 03:16:12",158414,414604,600M,,"212 by Carolina Herrera - Eau De Toilette Spray 3.4 oz",,0,0,,6.95,,,56.44,,54.84,,72.00,150,in-stock,,0,"2011-01-14 02:10:18",,"Catalog||Health & beauty||Perfume & fragrances||Men's||A-F",,http://images.doba.com/products/16/images_products_Parent_600M.jpg,141,125,,MensFragrance,0
16,0.00,Orchid,110960,416102,"273 by Fred Hayman - Cologne Spray 2.5 oz",,"Launched by the design house of Fred Hayman in 1990, FRED HAYMAN 273 is classified as a sharp, woody, arid fragrance. This masculine scent possesses a blend of natural lemon, berry, amber, vetiver, and oak. It is recommended for daytime wear.",new,,,"Fred Hayman",12,,"2011-02-07 03:16:12",158431,416102,603M,,"273 by Fred Hayman - Cologne Spray 2.5 oz",,0,0,,6.95,,,11.83,,11.49,,50.00,150,in-stock,,0,"2011-01-13 02:10:21",,"Catalog||Health & beauty||Perfume & fragrances||Men's||A-F",,http://images.doba.com/products/16/images_products_Parent_603M.jpg,125,125,,MensFragrance,0
16,0.00,Orchid,110969,415926,"273 Red by Fred Hayman - Eau De Cologne Spray 2.5 oz",,"This fragrance was produced by Fred Hayman in 1990. Iit has a barren, woody, and arid scent. This scent includes a blend of natural lemon, berry, amber, vetiver, and oak.",new,,,"Fred Hayman",12,,"2011-02-07 03:16:12",158440,415926,60337M,,"273 Red by Fred Hayman - Eau De Cologne Spray 2.5 oz",,0,0,,6.95,,,11.10,,10.78,,40.00,150,in-stock,,0,"2010-04-01 16:54:25",,"Catalog||Health & beauty||Perfume & fragrances||Men's||A-F",,http://images.doba.com/products/16/images_products_Parent_60337M.jpg,143,125,,MensFragrance,0
16,0.00,Orchid,110977,416457,"4711 by Muelhens - Eau De Cologne 10 oz",,"Created by the design house of Muelhens in 1792, 4711 is classified as a refined, fruity fragrance. This unisex scent possesses a blend of sandalwood oils, citrus fruits, oranges, lemons, and grapefruit.",new,,,Muelhens,12,,"2011-02-07 03:16:12",158448,416457,604M,,"4711 by Muelhens - Eau De Cologne 10 oz",,0,0,,6.95,,,18.14,,17.62,,35.00,150,in-stock,,0,"2010-10-03 02:10:26",,"Catalog||Health & beauty||Perfume & fragrances||Men's||M-R",,http://images.doba.com/products/16/images_products_Parent_604M.jpg,125,125,,MensFragrance,0
16,0.00,Orchid,110980,416467,"4711 by Muelhens - Eau De Cologne 13.5 oz",,"Created by the design house of Muelhens in 1792, 4711 is classified as a refined, fruity fragrance. This unisex scent possesses a blend of sandalwood oils, citrus fruits, oranges, lemons, and grapefruit.",new,,,Muelhens,12,,"2011-02-07 03:16:12",158451,416467,604M,,"4711 by Muelhens - Eau De Cologne 13.5 oz",,0,0,,6.95,,,22.31,,21.67,,40.00,150,in-stock,,0,"2010-12-19 02:10:27",,"Catalog||Health & beauty||Perfume & fragrances||Men's||M-R",,http://images.doba.com/products/16/images_products_Parent_604M.jpg,125,125,,MensFragrance,0
16,0.00,Orchid,110982,416445,"4711 by Muelhens - Eau De Cologne 27 oz",,"Created by the design house of Muelhens in 1792, 4711 is classified as a refined, fruity fragrance. This unisex scent possesses a blend of sandalwood oils, citrus fruits, oranges, lemons, and grapefruit.",new,,,Muelhens,12,,"2011-02-07 03:16:12",158453,416445,604M,,"4711 by Muelhens - Eau De Cologne 27 oz",,0,0,,6.95,,,27.84,,27.05,,50.00,150,in-stock,,0,"2011-02-05 02:10:32",,"Catalog||Health & beauty||Perfume & fragrances||Men's||M-R",,http://images.doba.com/products/16/images_products_Parent_604M.jpg,125,125,,MensFragrance,0
16,0.00,Orchid,110983,416451,"4711 by Muelhens - Cologne Spray 3 oz",,"Created by the design house of Muelhens in 1792, 4711 is classified as a refined, fruity fragrance. This unisex scent possesses a blend of sandalwood oils, citrus fruits, oranges, lemons, and grapefruit.",new,,,Muelhens,12,,"2011-02-07 03:16:12",158454,416451,604M,,"4711 by Muelhens - Cologne Spray 3 oz",,0,0,,6.95,,,18.14,,17.62,,22.00,150,in-stock,,0,"2010-12-18 02:10:42",,"Catalog||Health & beauty||Perfume & fragrances||Men's||M-R",,http://images.doba.com/products/16/images_products_Parent_604M.jpg,125,125,,MensFragrance,0
16,0.00,Orchid,110987,416446,"4711 by Muelhens - Eau De Cologne 6.8 oz",,"Created by the design house of Muelhens in 1792, 4711 is classified as a refined, fruity fragrance. This unisex scent possesses a blend of sandalwood oils, citrus fruits, oranges, lemons, and grapefruit.",new,,,Muelhens,12,,"2011-02-07 03:16:12",158458,416446,604M,,"4711 by Muelhens - Eau De Cologne 6.8 oz",,0,0,,6.95,,,15.73,,15.28,,28.50,150,in-stock,,0,"2010-11-17 10:05:47",,"Catalog||Health & beauty||Perfume & fragrances||Men's||M-R",,http://images.doba.com/products/16/images_products_Parent_604M.jpg,125,125,,MensFragrance,0
16,0.00,Orchid,111007,416537,"ACQUA DI GIO by Giorgio Armani - Eau De Toilette Spray 1.7 oz",,"Launched by the design house of Giorgio Armani in 1995, ACQUA DI GIO is classified as a refreshing, floral fragrance.",new,,,"Giorgio Armani",12,,"2011-02-07 03:16:12",158478,416537,610M,,"ACQUA DI GIO by Giorgio Armani - Eau De Toilette Spray 1.7 oz",,0,0,,6.95,,,49.90,,48.48,,57.00,150,in-stock,,0,"2011-02-05 02:11:09",,"Catalog||Health & beauty||Perfume & fragrances||Men's||G-L",,http://images.doba.com/products/16/images_products_Parent_610M.jpg,123,125,,MensFragrance,0
